,percent_NH_WHITE,percent_NH_BLACK,percent_NH_AMIN,percent_NH_ASIAN,percent_NH_NHPI,percent_NH_OTHER,percent_NH_2MORE,percent_HISP,percent_H_WHITE,percent_H_BLACK,percent_H_AMIN,percent_H_ASIAN,percent_H_NHPI,percent_H_OTHER,percent_H_2MORE,percent_LESS_10K,percent_10K_15K,percent_15K_20K,percent_20K_25K,percent_25K_30K,percent_30K_35K,percent_35K_40K,percent_40K_45K,percent_45K_50K,percent_50K_60K,percent_60K_75K,percent_75K_100K,percent_100K_125K,percent_125K_150K,percent_150K_200K,percent_200K_MORE,vote_GARCIA_2015
1528,0.00304878,0.969512195,0.00152439,0,0,0,0.010670732,0.015243902,0,0.012195122,0,0,0,0.00304878,0,0.134465961,0.014132026,0.007567929,0.013776965,0.046726111,0.02223803,0.002174229,0.012793079,0.014650156,0.004294102,0.010586421,0.009241994,2.85E-11,2.23E-10,6.50E-10,3.06E-10,0.305714286
1529,0.006932409,0.979202773,0.001733102,0,0,0.001733102,0.005199307,0.005199307,0,0.001733102,0,0,0,0.003466205,0,0.036139522,0.016062012,0.009034882,0.012046511,0.01606201,0.010038758,0.032124019,0.009034882,0.035135648,0.027104641,0.046178278,0.055213157,0.068263543,0.005019378,0.012046509,0.02308914,0.45106383
1530,0.074117648,0.036470588,0,0.004705882,0,0,0.024705883,0.86,0.372941177,0.043529412,0,0,0.001176471,0.398823528,0.043529412,0.053400447,0.010866015,0.001335076,0.059580851,0.016928552,0.013277541,0.00216694,0.005354361,0.007192645,0.032858205,0.044478156,0.058264935,0.011612826,0.005107557,0.000523674,0.030361307,0.569832402
1531,0.376893942,0.081439395,0.00094697,0.011363637,0,0,0.009469697,0.519886359,0.267045452,0.006628788,0,2.20E-11,0,0.234848484,0.011363636,0.011758626,0.008719739,0.012922025,0.022888065,0.006380297,0.024670341,0.003251564,0.014322531,0.014027789,0.040738409,0.036292852,0.057911003,0.027063017,0.041688617,0.012073872,0.020310604,0.490797546
1532,0.034642036,0.928406464,0.001539646,0.002309469,0,0.000769823,0.01847575,0.013856813,0.000769823,0.007698229,0,0,0,0.004618937,0.000769823,0.059238777,0.007078523,0.001905756,0.018416487,0.019072439,0.045997182,0.022513003,0.008118177,0.039683938,0.028112444,0.019451893,0.011166538,0.065611997,0.00839468,0.008167527,0.012313391,0.218487395
1533,0.801825292,0.101694916,0.002607562,0.033898304,0,0.002607562,0.01303781,0.044328554,0.022164276,0.01303781,0,0,0,0.005215124,0.003911343,0.066417518,0.011950315,0.029707195,0.005343165,0.032640946,0.006968455,0.022307255,0.036245917,0.015822249,1.71E-09,0.025770647,0.031670025,0.037615489,0.02484796,0.071904888,0.092442157,0.795454545
1534,0.241899437,0.026815643,6.91E-11,0.039106145,0,0.003910615,0.013407821,0.67486034,0.321229052,0.00726257,0.012849162,0.003351955,0.002793296,0.297206706,0.030167598,0.018371214,0.0051151,0.000538042,0.017368224,0.000733693,0.02071842,0.013806277,0.015867039,0.017045248,0.014639768,0.031892004,0.013833392,0.018035102,0.024185945,0.005997014,0.010368599,0.295681063
1535,0.744859811,0.003738318,0,0.064485981,0,0,0.013084112,0.173831778,0.086915888,0.000934579,4.32E-11,0,0,0.057009348,0.028971963,0.013561001,0.008547606,0.019312946,0.009672875,0.010655151,0.011297456,0.007391303,0.010747603,0.014065867,0.019085676,0.046485112,0.065984962,0.050271871,0.026857197,0.030023431,0.029372253,0.25
1536,0.793235973,0.008455034,0.002305918,0.031514221,0,0.001537279,0.016910069,0.146041506,0.087624904,0.002305918,0,0.000768639,0,0.036894696,0.018447348,0.015210453,0.007027314,0.01206197,0.006236401,0.002782264,0.003915117,0.016075791,0.017476482,0.006076872,0.034266146,0.040710753,0.048918058,0.042819635,0.031674442,0.042751878,0.083963834,0.188888889
1537,0.361913355,0.129061374,0.003610108,0.017148014,0,0.001805054,0.022563177,0.463898918,0.194043321,0.01534296,0.008122744,0,0,0.221119135,0.025270758,0.03884284,0.008239392,0.012947613,0.009416447,0.02471817,0.014713197,0.028249338,0.008827919,0.010004975,0.030603449,0.045905174,0.075920095,0.025306701,0.013536143,0.045316646,0.011770559,0.396449704
1538,0.038680319,0.898748576,0,0.002275311,0,0,0.007963595,0.052332198,0.023890786,0.005688282,0,0,0,0.014789534,0.007963595,2.20E-10,0.010379313,0.008615038,0,0.0080755,0.015165479,0.002413931,0.003888203,0.048943136,0.074723723,0.094898413,0.12480339,0.022237804,0.046949322,0.013156359,0.001944102,0.150943396
1539,0.068577868,0.012366519,0,0.000562116,0,0,0.001686341,0.916807157,0.441259127,0.002248455,0.011804383,0,0,0.412029208,0.049465984,0.012569105,0.00512838,0.00903873,0.000476564,0.033631477,0.00573674,0.019191859,0.012904382,0.015156822,0.022695615,0.013179839,0.027052866,0.011175657,0.025377261,0.003159279,0.001828451,0.586206897
1540,0.009104703,0.971168434,0,1.46E-10,0,0,0.004552352,0.015174511,0.009104706,0.004552353,6.50E-10,0,0,0.001517451,2.37E-10,0.122217034,0.013769285,0.050014508,0.043356369,0.026735125,0.040095618,0.03625625,0.004238055,0.027661738,0.022265771,0.050155314,0.027973914,0.024067811,0.001673536,0.001434459,0,0.189090909
1541,0.215044229,0.002654869,0,0.00619469,0,0.001769911,0.002654867,0.771681434,0.438938063,0.003539826,0.012389382,0,0.004424777,0.285840716,0.02654867,0.017329892,0.007994968,0.001321783,0.020576908,0.009883703,0.017757102,0.022129164,0.011410048,0.003021218,0.035899871,0.021718354,0.038739156,0.021766614,0.015738145,0.010007785,0.006231262,0.223300971
1542,0.415949962,0.025019546,0.000781861,0.020328381,0,0.002345583,0.012509773,0.523064894,0.187646596,0.007818608,0.004691165,0.000781861,0,0.310398751,0.011727913,0.019397514,0.007054311,0.003648733,0.011084425,0.015329169,0.013464938,0.001467029,0.012932277,0.012632569,0.005547314,0.022979842,0.045471577,0.052456007,0.018837449,0.044495291,0.063946933,0.685279188
1543,0.00490591,0.982011296,0.000817675,7.90E-10,0,2.05E-11,0.0032707,0.00899442,0.004088373,0.004906047,0,0,0,0,0,0.025454728,0.007375035,0.006507384,0.007396819,0.004476743,0.023252613,0.010149463,0.001534883,0.013302322,0.010500196,0.010906324,0.025356389,0.019064048,0.002813953,0,0.002302325,0.210843373
1544,0.045573599,0.004190677,0,1.28E-10,0,0,0.001047669,0.949188055,0.397590358,0.003666841,0.001047669,0,0,0.525929807,0.020953379,0.041382919,0.00471451,0.026191722,0.027763227,0.005238345,0.030382399,0.01623887,9.55E-10,0.027763224,0.012048194,0.011000524,0.00576218,0.00576218,0.005238345,0.003143007,2.06E-11,0.17791411
1545,0.799856944,0.009259357,0,0.024929081,0,0.004273557,0.010683893,0.150997168,0.100427231,0.00071226,0.004273557,0,0,0.039173785,0.006410336,0.01625004,0.006409954,0.006093765,0.003250008,1.67E-11,0.009860532,0.005687514,0.029391249,0.002843757,0.014329293,0.051835338,0.097316949,0.127870723,1.62E-10,0.046975661,0.023673065,0.417266187
1546,0.659388707,0.041921399,0.004366813,0.112663768,0,0.001746725,0.0209607,0.158951887,0.068995611,0.000873362,2.80E-12,0.00349345,0,0.076855842,0.008733622,0.017231962,0.007832707,0.03707481,0.007832706,1.43E-09,0.017231953,0.023498119,0.004177444,0.036030444,0.049084961,0.101825183,0.075716172,0.052740227,0.070494358,0.132111646,0.201039473,0.336585366
